,pred_3,pred_4,pred_5,pred_7,pred_13,pred_14,result_com,date,year,month,day,num_date,range_date,season,right_pred
15493,0,0,0,0,0,0,63,2019-05-26,2019,5,26,2,5,sp,0
15494,0,0,0,1,1,0,21,2019-05-26,2019,5,26,2,5,sp,0
15495,0,0,0,0,0,0,45,2019-05-26,2019,5,26,2,5,sp,0
15496,0,0,0,0,0,0,102,2019-05-26,2019,5,26,2,5,sp,0
15497,0,0,0,0,0,0,21,2019-05-26,2019,5,26,2,5,sp,0
15498,0,1,0,0,0,0,77,2019-05-26,2019,5,26,2,5,sp,0
15499,0,0,0,0,0,0,21,2019-05-26,2019,5,26,2,5,sp,0
15500,0,0,0,0,0,0,9,2019-05-26,2019,5,26,2,5,sp,0
15501,0,0,0,0,1,0,15,2019-05-26,2019,5,26,2,5,sp,0
15502,0,0,0,0,0,0,41,2019-05-26,2019,5,26,2,5,sp,0
15503,1,0,1,0,1,0,1,2019-05-27,2019,5,27,3,5,sp,0
15504,0,0,0,0,0,0,12,2019-05-27,2019,5,27,3,5,sp,0
15505,0,0,0,0,0,0,38,2019-05-27,2019,5,27,3,5,sp,0
15506,0,0,0,0,0,0,62,2019-05-27,2019,5,27,3,5,sp,0
15507,1,0,0,0,1,0,13,2019-05-27,2019,5,27,3,5,sp,1
15508,0,0,0,0,0,0,70,2019-05-27,2019,5,27,3,5,sp,0
15509,0,0,0,0,0,0,70,2019-05-27,2019,5,27,3,5,sp,0
15510,0,1,0,0,0,0,4,2019-05-27,2019,5,27,3,5,sp,1
15511,0,0,0,0,1,0,18,2019-05-27,2019,5,27,3,5,sp,0
15512,0,0,1,0,0,1,1,2019-05-27,2019,5,27,3,5,sp,0
